
##############
# h_nominal # 
##############

#Time 	total case
54	363.964745223
55	337.229088587
56	312.443438119
57	289.47551286
58	268.195861506
59	248.47939525
60	230.209020193
61	213.277699175
62	197.587433456
63	183.047722111
64	169.574472274
65	157.089466064
66	145.52012628
67	134.799233605
68	124.864556318
69	115.658452143
70	107.127499795
71	99.2221821874
72	91.8966064863
73	85.1082454707
74	78.8176933646
75	72.9884360276
76	67.5866374688
77	62.5809428715
78	57.9422968092
79	53.643774996
80	49.6604281922
81	45.9691373693
82	42.5484794279
83	39.3786027867
84	36.4411121226
85	33.7189615747
86	31.1963557793
87	28.8586581485
88	26.6923058669
89	24.6847311244
90	22.8242881248
91	21.1001854516
92	19.5024233863
93	18.0217358315
94	16.6495364866
95	15.3778689786
96	14.1993606433
97	13.1071797006
98	12.0949955726
99	11.1569421093
100	10.2875835153
101	9.48188277213
102	8.73517238106
103	8.04312725087
104	7.40173957621
105	6.80729555571
106	6.25635381954
107	5.74572544427
108	5.27245542614
109	4.83380552291
110	4.42723834226
111	4.05040261324
112	3.70111952488
113	3.37737007334
114	3.07728334049
115	2.79912562414
116	2.5412903723
117	2.30228885528
118	2.08074152048
119	1.87536998183
END

##############
# h_beta_0.05875 # 
##############

#Time 	total case
-1	3.9376867652e-10
1	184.445
2	285.367169349
3	245.017900174
4	223.813425912
5	222.95787696
6	277.086994695
7	572.892923535
8	400.367387608
9	495.148871404
10	615.276173831
11	772.427272828
12	372.120621952
13	731.980057959
14	1393.80837185
15	1444.73401999
16	1332.85201038
17	1478.56248173
18	2261.29921452
19	2068.87263707
20	1915.90391163
21	3485.78307489
22	3888.26503873
23	5954.67871791
24	6652.5919458
25	6486.53001803
26	4607.32224264
27	6401.93921259
28	8484.73163681
29	10825.2842722
30	8484.58059322
31	8104.60930996
32	5467.49617056
33	3651.41846388
34	5500.09333441
35	5923.61030253
36	6116.03054604
37	5093.24131857
38	4365.13886341
39	3677.96370156
40	3238.17436085
41	3127.16753316
42	2969.65198759
43	2796.02814378
44	2628.47893182
45	2477.55232999
46	2343.89041966
47	2218.66583711
48	2098.33728109
49	1982.63839276
50	1872.5749753
51	1769.02424577
52	1671.66578168
